Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,251,13,▲,91,54
Massachusetts,246,9,▲,82,51
Florida,243,6,▲,82,45
Wyoming,243,6,▲,83,46
New Hampshire,242,4,▲,81,43
Utah,242,4,▲,79,45
North Dakota,241,4,▲,81,43
Minnesota,241,3,▲,78,45
Texas,241,3,▲,79,43
Indiana,240,3,♦,79,43
New Jersey,240,3,♦,77,44
South Dakota,240,3,♦,79,42
Tennessee,240,2,♦,78,42
Ohio,239,2,♦,77,43
Hawaii,239,2,♦,77,42
Wisconsin,239,2,♦,77,42
Mississippi,239,2,♦,81,38
Colorado,239,2,♦,77,42
Connecticut,239,2,♦,76,42
North Carolina,239,2,♦,77,41
Montana,238,1,♦,78,40
Idaho,238,1,♦,76,41
Nebraska,238,1,♦,78,40
Pennsylvania,238,1,♦,75,41
Virginia,238,1,♦,76,40
Kentucky,238,1,♦,78,38
South Carolina,238,#,♦,76,40
Washington,238,#,♦,75,40
National public,237,†,,76,39
Rhode Island,237,#,♦,76,38
Kansas,237,#,♦,76,40
Iowa,237,#,♦,77,39
Alabama,236,-1,♦,76,37
Georgia,236,-1,♦,75,38
Illinois,236,-1,♦,74,38
Michigan,235,-2,♦,74,37
Missouri,235,-2,♦,75,36
Vermont,235,-2,▼,75,36
Louisiana,235,-3,♦,75,35
New York,234,-3,♦,72,37
Maryland,234,-3,♦,70,37
Nevada,233,-4,▼,72,36
Delaware,233,-4,▼,71,35
Maine,233,-4,▼,73,33
California,233,-4,▼,70,35
Oklahoma,233,-5,▼,74,31
Arizona,232,-5,▼,70,34
West Virginia,232,-6,▼,72,31
District of Columbia,231,-7,▼,65,33
Arkansas,230,-7,▼,70,31
Oregon,229,-9,▼,67,31
Alaska,226,-11,▼,64,30
New Mexico,224,-13,▼,62,23
Puerto Rico,184,-53,▼,18,2
